Client,Loss,Accuracy
0,432.753657579422,0.1015
1,432.7754077911377,0.10283333333333333
2,432.7557816505432,0.106
3,432.80619072914124,0.102
4,432.8038544654846,0.10516666666666667
5,432.76994156837463,0.105
6,432.8027057647705,0.10716666666666666
7,432.8447115421295,0.10083333333333333
8,432.8811147212982,0.09983333333333333
9,432.88410997390747,0.09633333333333334
